name,path,cssCustomProperty,defaultValue,description,exampleValue,usage,cssProperties,source
font.heading.large,font; heading; large,--ds-font-heading-large,"normal 653 1.5rem/1.75rem ""Atlassian Sans"", ui-sans-serif, -apple-system, BlinkMacSystemFont, ""Segoe UI"", Ubuntu, ""Helvetica Neue"", sans-serif","App page titles, such as forms. Migrate instances of H700 to Heading L.","normal 653 1.5rem/1.75rem ""Atlassian Sans"", ui-sans-serif, -apple-system, BlinkMacSystemFont, ""Segoe UI"", Ubuntu, ""Helvetica Neue"", sans-serif","A composite token that applies complete font-related properties for headings (e.g. font.heading.xlarge). Includes font size, weight, line height, and family",font,token-metadata.codegen.js
font.heading.medium,font; heading; medium,--ds-font-heading-medium,"normal 653 1.25rem/1.5rem ""Atlassian Sans"", ui-sans-serif, -apple-system, BlinkMacSystemFont, ""Segoe UI"", Ubuntu, ""Helvetica Neue"", sans-serif","Headers in large components, such as modal dialogs. Migrate instances of H600 to Heading M.","normal 653 1.25rem/1.5rem ""Atlassian Sans"", ui-sans-serif, -apple-system, BlinkMacSystemFont, ""Segoe UI"", Ubuntu, ""Helvetica Neue"", sans-serif","A composite token that applies complete font-related properties for headings (e.g. font.heading.xlarge). Includes font size, weight, line height, and family",font,token-metadata.codegen.js
font.heading.small,font; heading; small,--ds-font-heading-small,"normal 653 1rem/1.25rem ""Atlassian Sans"", ui-sans-serif, -apple-system, BlinkMacSystemFont, ""Segoe UI"", Ubuntu, ""Helvetica Neue"", sans-serif",For headers in small components where space is limited. Migrate instances of H500 to Heading S.,"normal 653 1rem/1.25rem ""Atlassian Sans"", ui-sans-serif, -apple-system, BlinkMacSystemFont, ""Segoe UI"", Ubuntu, ""Helvetica Neue"", sans-serif","A composite token that applies complete font-related properties for headings (e.g. font.heading.xlarge). Includes font size, weight, line height, and family",font,token-metadata.codegen.js
font.heading.xsmall,font; heading; xsmall,--ds-font-heading-xsmall,"normal 653 0.875rem/1.25rem ""Atlassian Sans"", ui-sans-serif, -apple-system, BlinkMacSystemFont, ""Segoe UI"", Ubuntu, ""Helvetica Neue"", sans-serif",For headers in small components where space is limited. Migrate instances of H400 to Heading XS.,"normal 653 0.875rem/1.25rem ""Atlassian Sans"", ui-sans-serif, -apple-system, BlinkMacSystemFont, ""Segoe UI"", Ubuntu, ""Helvetica Neue"", sans-serif","A composite token that applies complete font-related properties for headings (e.g. font.heading.xlarge). Includes font size, weight, line height, and family",font,token-metadata.codegen.js
font.heading.xxsmall,font; heading; xxsmall,--ds-font-heading-xxsmall,"normal 653 0.75rem/1rem ""Atlassian Sans"", ui-sans-serif, -apple-system, BlinkMacSystemFont, ""Segoe UI"", Ubuntu, ""Helvetica Neue"", sans-serif","For headers in fine print or tight spaces. Use sparingly. Migrate instances of H100, H200 and H300 to Heading XXS.","normal 653 0.75rem/1rem ""Atlassian Sans"", ui-sans-serif, -apple-system, BlinkMacSystemFont, ""Segoe UI"", Ubuntu, ""Helvetica Neue"", sans-serif","A composite token that applies complete font-related properties for headings (e.g. font.heading.xlarge). Includes font size, weight, line height, and family",font,token-metadata.codegen.js
font.body.large,font; body; large,--ds-font-body-large,"normal 400 1rem/1.5rem ""Atlassian Sans"", ui-sans-serif, -apple-system, BlinkMacSystemFont, ""Segoe UI"", Ubuntu, ""Helvetica Neue"", sans-serif","For long-form text, such as in blogs.","normal 400 1rem/1.5rem ""Atlassian Sans"", ui-sans-serif, -apple-system, BlinkMacSystemFont, ""Segoe UI"", Ubuntu, ""Helvetica Neue"", sans-serif",A composite token that applies all font properties for standard body text (e.g. font.body),font,token-metadata.codegen.js
font.body,font; body; [default],--ds-font-body,"normal 400 0.875rem/1.25rem ""Atlassian Sans"", ui-sans-serif, -apple-system, BlinkMacSystemFont, ""Segoe UI"", Ubuntu, ""Helvetica Neue"", sans-serif",Use in short descriptions or labels. The default size for text in components. Migrate instances of Paragraph Default and UI Text to Body M.,"normal 400 0.875rem/1.25rem ""Atlassian Sans"", ui-sans-serif, -apple-system, BlinkMacSystemFont, ""Segoe UI"", Ubuntu, ""Helvetica Neue"", sans-serif",A composite token that applies all font properties for standard body text (e.g. font.body),font,token-metadata.codegen.js
font.body.small,font; body; small,--ds-font-body-small,"normal 400 0.75rem/1rem ""Atlassian Sans"", ui-sans-serif, -apple-system, BlinkMacSystemFont, ""Segoe UI"", Ubuntu, ""Helvetica Neue"", sans-serif",Use in secondary level content such as fine print or semantic messaging. Use sparingly. Migrate instances of Small text to Body S.,"normal 400 0.75rem/1rem ""Atlassian Sans"", ui-sans-serif, -apple-system, BlinkMacSystemFont, ""Segoe UI"", Ubuntu, ""Helvetica Neue"", sans-serif",A composite token that applies all font properties for standard body text (e.g. font.body),font,token-metadata.codegen.js
font.metric.large,font; metric; large,--ds-font-metric-large,"normal 653 1.75rem/2rem ""Atlassian Sans"", ui-sans-serif, -apple-system, BlinkMacSystemFont, ""Segoe UI"", Ubuntu, ""Helvetica Neue"", sans-serif",Use to emphasize a number within a large donut.,"normal 653 1.75rem/2rem ""Atlassian Sans"", ui-sans-serif, -apple-system, BlinkMacSystemFont, ""Segoe UI"", Ubuntu, ""Helvetica Neue"", sans-serif","Font settings for displaying numbers or metrics, ensuring legibility and alignment (e.g. font.metric)",font,token-metadata.codegen.js
font.metric.medium,font; metric; medium,--ds-font-metric-medium,"normal 653 1.5rem/1.75rem ""Atlassian Sans"", ui-sans-serif, -apple-system, BlinkMacSystemFont, ""Segoe UI"", Ubuntu, ""Helvetica Neue"", sans-serif",Use to emphasize a number within a medium donut.,"normal 653 1.5rem/1.75rem ""Atlassian Sans"", ui-sans-serif, -apple-system, BlinkMacSystemFont, ""Segoe UI"", Ubuntu, ""Helvetica Neue"", sans-serif","Font settings for displaying numbers or metrics, ensuring legibility and alignment (e.g. font.metric)",font,token-metadata.codegen.js
font.metric.small,font; metric; small,--ds-font-metric-small,"normal 653 1rem/1.25rem ""Atlassian Sans"", ui-sans-serif, -apple-system, BlinkMacSystemFont, ""Segoe UI"", Ubuntu, ""Helvetica Neue"", sans-serif","Use to emphasize a number and words in single-value tiles, or small donuts.","normal 653 1rem/1.25rem ""Atlassian Sans"", ui-sans-serif, -apple-system, BlinkMacSystemFont, ""Segoe UI"", Ubuntu, ""Helvetica Neue"", sans-serif","Font settings for displaying numbers or metrics, ensuring legibility and alignment (e.g. font.metric)",font,token-metadata.codegen.js
font.code,font; code; [default],--ds-font-code,"normal 400 0.875em/1 ""Atlassian Mono"", ui-monospace, Menlo, ""Segoe UI Mono"", ""Ubuntu Mono"", monospace","For representing code only, either inline or in code blocks.","normal 400 0.875em/1 ""Atlassian Mono"", ui-monospace, Menlo, ""Segoe UI Mono"", ""Ubuntu Mono"", monospace","Font settings for inline code and code blocks, enforcing monospace font and sizing (e.g. font.code)",font; font-family; font-size; font-weight; line-height,token-metadata.codegen.js
font.weight.regular,font; weight; regular,--ds-font-weight-regular,400,Default font weight for body text styles.,400,"Granular control of font weight (e.g. font.weight.regular, font.weight.semibold). Use only to override the default font tokens for custom typography components beyond what’s supported by Text, MetricText and Heading",font-weight,token-metadata.codegen.js
font.weight.medium,font; weight; medium,--ds-font-weight-medium,500,"For all text that may appear beside iconography, such as in a button.",500,"Granular control of font weight (e.g. font.weight.regular, font.weight.semibold). Use only to override the default font tokens for custom typography components beyond what’s supported by Text, MetricText and Heading",font-weight,token-metadata.codegen.js
font.weight.semibold,font; weight; semibold,--ds-font-weight-semibold,600,Use with caution as fallback fonts do not support this font weight and will default to bold weight.,600,"Granular control of font weight (e.g. font.weight.regular, font.weight.semibold). Use only to override the default font tokens for custom typography components beyond what’s supported by Text, MetricText and Heading",font-weight,token-metadata.codegen.js
font.weight.bold,font; weight; bold,--ds-font-weight-bold,653,"Use sparingly for emphasising text, such as in a lozenge.",653,"Granular control of font weight (e.g. font.weight.regular, font.weight.semibold). Use only to override the default font tokens for custom typography components beyond what’s supported by Text, MetricText and Heading",font-weight,token-metadata.codegen.js
font.family.heading,font; family; heading,--ds-font-family-heading,"""Atlassian Sans"", ui-sans-serif, -apple-system, BlinkMacSystemFont, ""Segoe UI"", Ubuntu, ""Helvetica Neue"", sans-serif",For our default UI heading text.,"""Atlassian Sans"", ui-sans-serif, -apple-system, BlinkMacSystemFont, ""Segoe UI"", Ubuntu, ""Helvetica Neue"", sans-serif",Granular control of font family (e.g. font.family.body). Use only when overriding the default in composites,font-family,token-metadata.codegen.js
font.family.body,font; family; body,--ds-font-family-body,"""Atlassian Sans"", ui-sans-serif, -apple-system, BlinkMacSystemFont, ""Segoe UI"", Ubuntu, ""Helvetica Neue"", sans-serif",For our default UI body text.,"""Atlassian Sans"", ui-sans-serif, -apple-system, BlinkMacSystemFont, ""Segoe UI"", Ubuntu, ""Helvetica Neue"", sans-serif",Granular control of font family (e.g. font.family.body). Use only when overriding the default in composites,font-family,token-metadata.codegen.js
font.family.code,font; family; code,--ds-font-family-code,"""Atlassian Mono"", ui-monospace, Menlo, ""Segoe UI Mono"", ""Ubuntu Mono"", monospace",For representing code only.,"""Atlassian Mono"", ui-monospace, Menlo, ""Segoe UI Mono"", ""Ubuntu Mono"", monospace",Granular control of font family (e.g. font.family.body). Use only when overriding the default in composites,font-family,token-metadata.codegen.js
font.family.brand.heading,font; family; brand; heading,--ds-font-family-brand-heading,"""Charlie Display"", ui-sans-serif, -apple-system, BlinkMacSystemFont, ""Segoe UI"", Ubuntu, ""Helvetica Neue"", sans-serif",For our brand heading text. Uses Charlie Display.,"""Charlie Display"", ui-sans-serif, -apple-system, BlinkMacSystemFont, ""Segoe UI"", Ubuntu, ""Helvetica Neue"", sans-serif",Granular control of font family (e.g. font.family.body). Use only when overriding the default in composites,font-family,token-metadata.codegen.js
font.family.brand.body,font; family; brand; body,--ds-font-family-brand-body,"""Charlie Text"", ui-sans-serif, -apple-system, BlinkMacSystemFont, ""Segoe UI"", Ubuntu, ""Helvetica Neue"", sans-serif",For our brand body text. Uses Charlie Text.,"""Charlie Text"", ui-sans-serif, -apple-system, BlinkMacSystemFont, ""Segoe UI"", Ubuntu, ""Helvetica Neue"", sans-serif",Granular control of font family (e.g. font.family.body). Use only when overriding the default in composites,font-family,token-metadata.codegen.js
